ISWC;workId;title;creators;source;date
T-060.730.452-8;100001124778;CRADLE;FURLER SIA KATE I, MACKICHAN BLAIR NICHOLAS SOMERLED;KOMCA;2023.10.18
T-060.607.020-5;100001124779;CRASH & BURN;FURLER SIA KATE I, MACKICHAN BLAIR NICHOLAS SOMERLED;KOMCA;2023.10.18
T-060.607.021-6;100001124780;CROSS MY HEART;FURLER SIA KATE I, HEWERDINE MARK NICHOLAS;KOMCA;2023.10.18
T-060.283.598-2;100001124781;CRUCIAL;FLAVELL JESSE HEATH, FURLER SIA KATE I, GLOVER JEREMY THOMAS, GURTON BEN SHAUN, LANGLEY SAMUEL, ROONEY STEVEN DAVID;KOMCA;2023.10.18
T-914.320.875-7;100001124782;CRUSH ME WITH YOUR LOVE;BRAIDE CHRISTOPHER KENNETH, FURLER SIA KATE I;KOMCA;2023.10.18
T-921.499.050-8;100001608004;CRYING IN THE CLUB;CAMILA CABELLO, FRANK DAVID MARTIN, FURLER SIA KATE I, HOIBERG MAGNUS, KIPNER STEPHEN, LEVIN BENJAMIN JOSEPH, PAMELA SHEYNE, PEREZ NATHAN;KOMCA;2023.10.18
;100001124783;CUT TO THE CHASE;CHARNIN MARTIN, ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, GLUCK WILLIAM, HERMANSEN TOR ERIK, LEVIN BENJAMIN JOSEPH, STROUSE CHARLES;KOMCA;2023.10.18
T-060.954.488-8;100001124784;DAY TOO SOON;DIXON SAMUEL RONALD, FURLER SIA KATE I;KOMCA;2023.10.18
T-060.877.450-0;100001124785;DEATH BY CHOCOLATE;FURLER SIA KATE I, KURSTIN GREGORY ALLEN;KOMCA;2023.10.18
T-061.793.584-8;100002213795;DEER IN HEADLIGHTS;DIXON SAMUEL RONALD, FURLER SIA KATE I;KOMCA;2023.10.18
T-061.588.255-7;100001276351;DEJA VU;FURLER SIA KATE I, MORODER GIORGIO G;KOMCA;2023.10.18
T-060.418.209-3;100001124786;DELIRIUM;BENJAMIN TIMMIS, FURLER SIA KATE I, GLOVER JEREMY THOMAS, LANGLEY SAMUEL, ROONEY STEVEN DAVID;KOMCA;2023.10.18
T-060.506.457-0;0000M0008335;DESTINY 1;BARKER SIA KATE I, BINNS HENRY, FURLER SIA KATE I, HARDAKER SAM;KOMCA;2023.10.18
T-305.578.674-4;100003730953;DIAMOND EYES;BENJAMIN EDDIE, FURLER SIA KATE I, SHATKIN JESSE SAMUEL;KOMCA;2023.10.18
T-061.370.347-1;100000398065;DIAMONDS;ERIKSEN MIKKEL, FURLER SIA KATE I, HERMANSEN TOR ERIK, LEVIN BENJAMIN JOSEPH;KOMCA;2023.10.18
T-916.634.127-1;100001124787;DIAMONDS (REMIX);ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, HERMANSEN TOR ERIK, LEVIN BENJAMIN, WEST KANYE OMARI;KOMCA;2023.10.18
