ISWC;workId;title;creators;source;date
;19877919;CASUALTY;FURLER SIA KATE I, KURSTIN GREGORY ALLEN, MOORE ALECIA B;BMI;2024.9.11
;6250682;CATCHING ON;FRANK SAMUEL JAMES, FURLER SIA KATE I;BMI;2024.9.11
;0;CELEBS GO DATING;CORRALIZA IVAN, FURLER SIA KATE I, GOERVELL DAHLL KYRRE, RUDOLF KEVIN WINSTON;BMI;2024.9.11
;25017988;CHAMPION;FURLER SIA KATE I, HURLEY ANDREW JOHN, SHATKIN JESSE SAMUEL, STUMPH PATRICK MARTIN, TROHMAN JOSEPH MARK, WENTZ PETER;BMI;2024.9.11
;66866911;CHAMPION;BROWN ERNEST EUGENE III, FURLER SIA KATE I, GOODS JOSHUA DAIQUAN, JOLLIFF JAMES T IV, ROSS KALIYA ASHLEY, SHATKIN JESSE SAMUEL, WHACK WELTON TIERRA SHARDAY;BMI;2024.9.11
;22353613;CHANDELIER REGGAE COVER;FURLER SIA KATE I, JACK PARRY VERNON;BMI;2024.9.11
;17092832;CHASING SHADOWS;FURLER SIA KATE I, GARIBAY FERNANDO, KURSTIN GREG;BMI;2024.9.11
;6507595;CHURCH OF WHAT S HAPPENING NOW;DIXON SAMUEL RONALD, FURLER SIA KATE I;BMI;2024.9.11
;18168644;CITY IS YOURS;ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, GLUCK WILLIAM, HERMANSEN TOR ERIK, LEVIN BENJAMIN JOSEPH;BMI;2024.9.11
;10837998;CLAP YOUR HANDS;DIXON SAMUEL RONALD, FURLER SIA KATE I;BMI;2024.9.11
;7548498;CLOCKWORK;DIXON SAM, FURLER SIA KATE I;BMI;2024.9.11
;7548501;CLOUD;DIXON SAM, FURLER SIA KATE I;BMI;2024.9.11
;18024555;CO DEPENDENT;FURLER SIA KATE I;BMI;2024.9.11
;7548514;CODEPENDANT;FURLER SIA KATE I, KURSTIN GREG;BMI;2024.9.11
;8922184;COLLAPSING;FURLER SIA KATE I, HUNTINGTON NICK, MC GROARTY MICHAEL T;BMI;2024.9.11
;4994291;COMING AROUND;FLAVELL JESSE HEATH, FURLER SIA KATE I;BMI;2024.9.11
;22863673;CONFETTI;BRAIDE CHRISTOPHER KENNETH, FURLER SIA KATE I;BMI;2024.9.11
;14668472;CONVERSATION CUES;FURLER SIA KATE I, VALENSI NICK;BMI;2024.9.11
;7382207;CORNER;FURLER SIA KATE I, KURSTIN GREG;BMI;2024.9.11
;30305254;COURAGE;FURLER SIA KATE I, KURSTIN GREG, MOORE ALECIA B;BMI;2024.9.11
;30305255;COURAGE TO CHANGE;FURLER SIA KATE I, KURSTIN GREG, MOORE ALECIA B;BMI;2024.9.11
;6250731;CRADLE;FURLER SIA KATE I, MACKICHAN BLAIR N S;BMI;2024.9.11
;6250736;CRASH AND BURN;FURLER SIA KATE I, MACKICHAN BLAIR N S;BMI;2024.9.11
;6250738;CROSS MY HEART;FURLER SIA KATE I, HEWERDINE BOO;BMI;2024.9.11
;5047430;CRUCIAL;FLAVELL JESSE HEATH, FURLER SIA KATE I, GLOVER JEREMY THOMAS, GURTON BEN SHAUN, LANGLEY SAMUEL, ROONEY STEVEN DAVID;BMI;2024.9.11
;19259919;CUT TO THE CHASE;CHARNIN MARTIN, ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, GLUCK WILLIAM, HERMANSEN TOR ERIK, KURSTIN GREGORY ALLEN, LEVIN BENJAMIN JOSEPH, STROUSE CHARLES;BMI;2024.9.11
;8350351;DAY TOO SOON;DIXON SAMUEL RONALD, FURLER SIA KATE I;BMI;2024.9.11
;8350348;DEATH BY CHOCOLATE;FURLER SIA KATE I, KURSTIN GREGORY ALLEN;BMI;2024.9.11
;45464352;DEL MAR OZUNA FT DOJA CAT SIA;APONTE JOSE ANTONIO, COTTO JOSE OSVALDO JR, DLAMINI AMALA RATNA, FLORES DONNY, FURLER SIA KATE I, GOTAY ALEXIS, OZUNA ROSADO JAN CARLOS, RIVAS STARLIN BIENVENIDO, RIVERA LOPEZ YAZID ANTONIO, SHATKIN JESSE SAMUEL, VARGAS BERRIOS EDUARDO ALFONSO;BMI;2024.9.11
;5028732;DELIRIUM;FURLER SIA KATE I, GLOVER JEREMY THOMAS, LANGLEY SAMUEL, ROONEY STEVEN DAVID, TIMMIS BENJAMIN DAVID W;BMI;2024.9.11
