ISWC;workId;title;creators;source
T-060.288.726-2;;[International Music] RISING AND FALLING - 100001125019;;KOMCA
T-060.877.463-5;;[International Music] RUBBERBAND - 100001125020;;KOMCA
T-061.094.691-2;;[International Music] RULES ARE FOR BREAKING - 100001125021;;KOMCA
T-061.539.151-9;;[International Music] RUN FOR YOUR LIFE - 100001125022;;KOMCA
T-061.563.330-1;;[International Music] SALTED WOUND - 100004229612;;KOMCA
T-060.766.780-0;;[International Music] SALTED WOUND - 100001125023;;KOMCA
T-308.173.542-0;;[International Music] SANTA VISITS EVERYONE - 100004207262;;KOMCA
T-932.467.862-8;;[International Music] SAVED MY LIFE - 100003094755;;KOMCA
T-060.730.454-0;;[International Music] SEA SHELLS - 100001125024;;KOMCA
T-061.364.674-4;;[International Music] SECRETS - 100001125025;;KOMCA
T-915.347.450-1;;[International Music] SEXERCIZE - 100001125026;;KOMCA
T-060.285.605-2;;[International Music] SHADOW - 100001125027;;KOMCA
T-061.364.486-2;;[International Music] SHAME - 100001125028;;KOMCA
T-900.132.655-2;;[International Music] SHE GLOWS - 100001125029;;KOMCA
;;[International Music] SHE WOLF (FALLING TO PIECES) - 100000417000;;KOMCA
T-061.367.127-4;;[International Music] SHE'S PRETTY SHE LIES - 100001125030;;KOMCA
;;[International Music] SIA'S SONG - 100001125031;;KOMCA
;;[International Music] SICK FLOWERS - 100001125032;;KOMCA
;;[International Music] SILENCE - 100001125033;;KOMCA
T-927.138.526-3;;[International Music] SING FOR MY LIFE - 100002489550;;KOMCA
;;[International Music] SITUATION - 100001125034;;KOMCA
;;[International Music] SLEDGEHAMMER - 100001125035;;KOMCA
T-060.508.122-8;;[International Music] SOBER & UNKISSED - 100001125036;;KOMCA
T-060.417.932-9;;[International Music] SOME KIND OF LOVE SONG - 100001125037;;KOMCA
T-060.686.434-9;;[International Music] SOMERSAULT - 100001125038;;KOMCA
T-060.312.940-3;;[International Music] SOON - 100001125039;;KOMCA
T-061.021.266-2;;[International Music] SOON WE'LL BE FOUND - 100001125040;;KOMCA
T-060.715.212-4;;[International Music] SPEED DIAL - 100001125041;;KOMCA
T-914.013.325-1;;[International Music] STANDING ON THE SUN - 100001107821;;KOMCA
T-060.877.465-7;;[International Music] STOP TRYING - 100001125042;;KOMCA
;;[International Music] STORIES - 100001125043;;KOMCA
T-061.510.131-9;;[International Music] STRAIGHT FOR THE KNIFE - 100001125044;;KOMCA
T-061.434.509-3;;[International Music] STRANGE BIRD - 100001081879;;KOMCA
