ISWC;workId;title;creators;source;date
;4.164.608;GET ME;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.609;HEALING IS DIFFICULT;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.610;LITTLE MAN;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.611;DRINK TO GET DRUNK;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.612;NOT IMPORTANT;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.613;WHY DENY;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.614;I LL LIVE YOUR DREAM;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.615;JUDGE ME;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.616;FANCY ME;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.618;COMING AROUND;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.738;TRIPPY;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.739;HOW TO BREATHE;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.740;HOW TO BREATHE A CAPELLA VERSION;SIA KATE I FURLER;SGAE;2024.9.28
;4.315.396;DELIRIUM;SIA KATE I FURLER;SGAE;2024.9.28
;4.315.398;JUNGLE;SIA KATE I FURLER;SGAE;2024.9.28
;4.315.399;GET IT TOGETHER;SIA KATE I FURLER;SGAE;2024.9.28
;4.315.400;MOODSWINGS;SIA KATE I FURLER;SGAE;2024.9.28
;4.315.403;ONE MORE SHOT;SIA KATE I FURLER;SGAE;2024.9.28
;4.315.404;PERSONAL REVOLUTION;SIA KATE I FURLER;SGAE;2024.9.28
;4.315.407;PART;SIA KATE I FURLER;SGAE;2024.9.28
;4.315.408;PROBLEMS;SIA KATE I FURLER;SGAE;2024.9.28
;4.315.409;RIGHT TIME;SIA KATE I FURLER;SGAE;2024.9.28
;4.315.410;SITUATIONS;SIA KATE I FURLER;SGAE;2024.9.28
;4.315.413;RISING AND FALLING;SIA KATE I FURLER;SGAE;2024.9.28
;4.315.414;SIA S SONG;SIA KATE I FURLER;SGAE;2024.9.28
;4.315.415;SHADOW;SIA KATE I FURLER;SGAE;2024.9.28
;4.315.417;THINGS;SIA KATE I FURLER;SGAE;2024.9.28
;4.315.418;UP ON THE ONE;SIA KATE I FURLER;SGAE;2024.9.28
;4.315.419;WORD AND THE DEAL;SIA KATE I FURLER;SGAE;2024.9.28
;4.315.512;MAXIMISE;SIA KATE I FURLER;SGAE;2024.9.28
;4.315.514;CRUCIAL;SIA KATE I FURLER;SGAE;2024.9.28
;4.315.965;INSIDIOUSLY;SIA KATE I FURLER;SGAE;2024.9.28
;4.315.966;FEAR;SIA KATE I FURLER;SGAE;2024.9.28
;4.465.443;WAITING FOR YOU;SIA KATE I FURLER;SGAE;2024.9.28
;4.537.249;ALL THE DJS LOVE YOU IN NEW YORK;SIA KATE I FURLER;SGAE;2024.9.28
;4.573.006;WHY DENY;SIA KATE I FURLER;SGAE;2024.9.28
;4.573.782;EVER;SIA KATE I FURLER;SGAE;2024.9.28
