ISWC;workId;title;creators;source
T3021212788;331800930;CLOUD;DIXON SAM, FURLER SIA KATE I, FURLER SIA KATE I;ASCAP
T0608774486;502351011;CODEPENDANT;FURLER SIA KATE I, KURSTIN GREG;ASCAP
T9047404999;905544525;COLLAPSING;FURLER SIA KATE I, HUNTINGTON NICK, MC GROARTY MICHAEL T;ASCAP
T9316326871;906023424;COLOGNE;FURLER SIA KATE I, KARLSSON CHRISTIAN LARS, LIDEHALL MAGNUS CARL ERIK, PONTARE VINCENT FRED;ASCAP
 ;331983494;COULDN'T MAKE;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;ASCAP
T9282664408;897122157;COURAGE;FURLER SIA KATE I, KURSTIN GREG, MOORE ALECIA B;ASCAP
T9282664419;897122158;COURAGE TO CHANGE;FURLER SIA KATE I, KURSTIN GREG, MOORE ALECIA B;ASCAP
 ;333295797;CRITICISE;DOHERTY ROYCE ALAN M, FURLER SIA KATE I;ASCAP
T9143208757;887185597;CRUSH ME WITH YOUR LOVE;BRAIDE CHRIS, FURLER SIA KATE I;ASCAP
T9214990508;892543823;CRYING IN THE CLUB;CABELLO CAMILA, FRANK DAVID MARTIN, FURLER SIA KATE I, HOIBERG MAGNUS, KIPNER STEPHEN ALAN, LEVIN BENJAMIN JOSEPH, PEREZ NATHAN, SHEYNE PAMELA;ASCAP
T9256201215;888421817;CUT TO THE CHASE;CHARNIN MARTIN, ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, GLUCK WILLIAM, HERMANSEN TOR ERIK, KURSTIN GREG, LEVIN BENJAMIN, STROUSE CHARLES;ASCAP
T0616846980;895284936;CUT TO THE CHASE;CHARNIN MARTIN, ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, GLUCK WILLIAM, HERMANSEN TOR ERIK, KURSTIN GREGORY ALLEN, LEVIN BENJAMIN, STROUSE CHARLES;ASCAP
T0617972925;895207647;DAY THAT YOU MOVED ON;FURLER SIA KATE I, MCALL BARNABY JOHNATHON;ASCAP
T9245922241;342652277;DAY TOO SOON;DIXON SAMUEL RONALD, FURLER SIA KATE I;ASCAP
T0608774500;341893232;DEATH BY CHOCOLATE;FURLER SIA KATE I, KURSTIN GREGORY ALLEN;ASCAP
T0617935848;893007654;DEER IN HEADLIGHTS;DIXON SAMUEL RONALD, FURLER SIA KATE I;ASCAP
T0615882557;888635815;DEJA VU;FURLER SIA KATE I, MORODER GIORGIO;ASCAP
